height 	 width 	 red 	 green 	 blue
99	99	0.7083116648477356	0.6728871700591582	0.409802700808876
98	99	0.7065334549787383	0.6727923104151398	0.4086896696130781
98	99	0.7070973955175675	0.6725677317625106	0.40772936735452564
98	99	0.7056468892098257	0.6719261881065874	0.40571947389819696
98	99	0.7058124853402811	0.6714101777132334	0.4069223820859472
98	99	0.7048893676763601	0.6714799769583534	0.4055429624476016
99	99	0.7053596074034457	0.6709067680890722	0.40458794705125134
98	99	0.7047453123870632	0.6707676893052892	0.4039150883437148
98	99	0.7057687420584507	0.6710915115728635	0.403919077160725
97	99	0.7048471624422138	0.6703625657580108	0.40314044316913805
98	98	0.7055451368912872	0.6702784149351345	0.40482213970308106
98	99	0.7044235353905257	0.6698976884617394	0.4023591192289398
97	98	0.7054422430634055	0.6698751774536	0.4029350638333974
98	98	0.7040308337075298	0.6695120490944467	0.4020351244823634
98	98	0.7043511688571047	0.6696406684889102	0.40302292782167015
98	99	0.7039721389762873	0.6694846557604109	0.40271635016603563
99	99	0.7046838247494127	0.6695341551254647	0.4030465844874537
99	99	0.703734223224001	0.6692246144538926	0.40169342681088377
98	99	0.7047155394272472	0.66971412073334	0.4044651523975933
98	99	0.7042615373145468	0.6695315489947551	0.4040612341260969
98	99	0.7051107342279366	0.670013984349429	0.4062418796552514
98	99	0.7047467578313719	0.6699233275116729	0.4053846630250334
98	99	0.7055348032408284	0.6704243621448063	0.407581237267032
98	99	0.704923604360378	0.6699827098746641	0.40699718262478496
98	99	0.7061045900122026	0.6704526162351842	0.40809061728945073
98	98	0.7049984658174242	0.6703630568835297	0.4075516425651538
99	99	0.7057234555341607	0.670384769102205	0.40859353994840736
98	98	0.7047268244502712	0.6701867213240548	0.4083238648318819
99	99	0.7043424648889031	0.6696988674152496	0.4091844710154434
99	99	0.7037370842721632	0.6689747871381098	0.4082889136812532
98	98	0.6915068453056065	0.6669608209000712	0.3969267468151589
99	99	0.7047424525365714	0.6690130913476497	0.4092072245564898
99	99	0.7039884273610264	0.6686310978204052	0.4081616279493822
99	99	0.7043386893486734	0.668354652565987	0.4085964411874416
99	99	0.7034752607115132	0.6685580577692395	0.40764201868503563
99	99	0.7041222557920083	0.6683945758380451	0.4090799359166624
99	99	0.7033438375350153	0.6681883169934634	0.4089203042328044
99	99	0.7046054501592497	0.6682900046401907	0.4113366422024146
99	99	0.7037000371241194	0.6682904222201188	0.4110183412555719
99	99	0.7045225715936297	0.6683813213326918	0.41208802411779283
99	99	0.703672252607866	0.6681688745821462	0.4119540598212794
98	98	0.6913376960479657	0.6671214613875364	0.3959658294641664
99	99	0.7038597924905517	0.6680262281047363	0.4127793910915893
99	99	0.7025353499172758	0.6676242760059153	0.41116674829494376
99	98	0.7038993673866215	0.6678860271245479	0.4126088409732442
99	99	0.7028525596487509	0.6677822390923284	0.41224057943455894
99	98	0.7037051152382213	0.6678661995573196	0.41310740094692266
99	99	0.7028318640275353	0.6675866011036269	0.412636274143394
99	99	0.7033987254168323	0.6675930137582582	0.4132950860563733
99	98	0.7026723730800198	0.6675040314391063	0.4119188671350232
99	98	0.7036637060219373	0.6681619269413767	0.41337702059717363
99	99	0.7032428919736351	0.668218974607036	0.4129212412600228
98	98	0.6920202907033468	0.6671573505023884	0.39721685689201075
99	98	0.704161963813684	0.6689958614893743	0.41437191871515616
99	98	0.7037623220688375	0.668996258194358	0.41378703947946915
99	98	0.7048002380847839	0.66975054764379	0.4157818987261491
99	98	0.7041303287484149	0.669466881279875	0.4151160862354895
99	98	0.7048725697518713	0.6697126020454203	0.41636092675657177
99	98	0.704579711839999	0.6701720529146167	0.41548549331501
99	98	0.7050002802164732	0.6701184462849389	0.41649427261895217
99	98	0.7042749289623876	0.6701685894342819	0.41580227417837684
99	98	0.7053474827703053	0.6703790654643056	0.41676771666020684
99	98	0.7043593568705455	0.6704171176178076	0.4158018155049199
99	98	0.6911558654054838	0.6670246359954236	0.3957463099653491
99	98	0.7053757621412359	0.6703858915193577	0.41783404397442236
99	98	0.704479705444026	0.6704168006000215	0.417449324488862
99	98	0.7053951380726052	0.6706262000890716	0.418469872744928
99	98	0.7044349278840895	0.6701115966664477	0.41812394063417274
99	99	0.7051060978984317	0.670993596745457	0.4188393554995655
99	99	0.7044307279208802	0.6712459498692568	0.418318586858795
99	99	0.7050222067066193	0.6712869222862236	0.41937850313221225
99	99	0.7045092220864604	0.6707972110703824	0.4188824887027016
99	99	0.7049846503033564	0.6705610762731999	0.41885612023686547
99	99	0.7039077551673243	0.6705417057442181	0.41825509341049477
99	99	0.7044244954969368	0.67021140387889	0.4194041504803754
99	99	0.703382886290025	0.6697741510056047	0.41743468900913466
99	99	0.7038283366838556	0.6695685109110506	0.418672610203071
99	99	0.7031726057555454	0.6696033576037067	0.41760947732623416
99	99	0.7036841185211075	0.6691994678009883	0.4186677543726756
99	99	0.7027780001989655	0.6690498894768893	0.4176152728137418
99	99	0.703434711345838	0.6694882535057365	0.4178818672980027
98	98	0.7028353288217932	0.6694226717235569	0.4177923204680101
98	99	0.703848194144914	0.6695441362385666	0.41859795245531867
98	99	0.7024223201087472	0.6695180863101654	0.4177706137386137
98	98	0.7028973448434684	0.6695432100599781	0.41862423170834423
98	99	0.7025527751423141	0.6694200664136626	0.4184367093611644
98	99	0.7032571135201302	0.6699025531662819	0.4199326659163166
98	99	0.7022906266510627	0.6693157746604054	0.4179620878822443
98	99	0.7034979286794616	0.6690145744972202	0.4196502811518467
99	99	0.701969986463153	0.6681641954052211	0.41666896720402413
98	99	0.7033140712204274	0.6690838148861554	0.4190028152318863
98	99	0.7018417992905331	0.6686385595406482	0.41689192358298
98	99	0.7017558414878358	0.669146227940867	0.4185614001298793
98	99	0.7012571028159599	0.6689627606421953	0.41719183709724017
98	99	0.7017993602274747	0.6690900025669879	0.41828189483245476
98	99	0.7010775303448833	0.6683487495464	0.4163750052457095
99	99	0.7009019994967384	0.668208388982444	0.4151041364225851
98	99	0.7005018027362073	0.6683972934261863	0.414708845754927
99	99	0.7009225511977191	0.6677465259122656	0.41367563564552007
99	99	0.7002542608653577	0.667687580892937	0.41218081310253957
99	99	0.7013356768809507	0.6676796215461117	0.41445930143881277
99	99	0.7002098506357237	0.6676217654078049	0.41301800068255967
99	99	0.7010301441233358	0.6678975133700839	0.41409130635832586
99	99	0.6999128755427119	0.6674701477727598	0.41198009690175763
98	99	0.7005458312601638	0.667840513304173	0.4129355820096
99	99	0.7000813965319255	0.6675891606951652	0.4105505409477854
99	99	0.7008196204526816	0.6675711590597159	0.4123520197096897
98	99	0.700170825906119	0.6677143988908699	0.41161665676371617
98	99	0.7008319154363767	0.6678584431119928	0.4126107383713882
98	99	0.7000557252078539	0.6677677967738819	0.41051893790230537
99	99	0.7008116351354285	0.667576571527015	0.41024965362955
98	99	0.6999554367201414	0.6678352148940383	0.41022232125173347
98	99	0.7012504269569465	0.6683017261436257	0.41110682091569295
98	98	0.6999085182182605	0.6680733540097036	0.4093846920485227
98	99	0.6921748918255186	0.6663733286555171	0.39707880169960663
98	99	0.7008137936159917	0.6682650217383227	0.41111862559300416
98	99	0.6999851418213144	0.6681351499933137	0.4096944663189853
97	98	0.7004544763641886	0.6684774788468352	0.4101823985408119
98	98	0.6996831205926974	0.6682466006129307	0.4093080226526628
98	98	0.7007689447460393	0.6686502565628019	0.4105332044322154
98	98	0.6996347242577308	0.6684218748837584	0.40855831392883474
98	99	0.7007223159704928	0.6686970807531901	0.4089864531684028
99	99	0.6996805204823486	0.668153689782234	0.40707463982747644
98	99	0.7004026566423489	0.6688939076514653	0.40944286782659556
